id,name,state_id,city_name,priority
1,Álvaro Obregón,9,,0
2,Abalá,31,,0
3,Abasolo,28,,0
4,Abasolo,11,Abasolo,0
5,Abasolo,5,,0
6,Abasolo,19,,0
7,Abejones,20,,0
8,Acámbaro,11,Acámbaro,0
9,Acacoyagua,7,,0
10,Acajete,21,,0
11,Acajete,30,,0
12,Acala,7,Acala,0
13,Acambay,15,,0
14,Acanceh,31,,0
15,Acapetahua,7,,0
16,Acaponeta,18,,0
17,Acapulco de Juárez,12,Acapulco de Juárez,2
18,Acateno,21,,0
19,Acatepec,12,,0
20,Acatic,14,,0
21,Acatlán,21,,0
22,Acatlán,30,,0
23,Acatlán,13,,0
24,Acatlán de Juárez,14,Acatlán de Juárez,0
25,Acatlán de Pérez Figueroa,20,,0
26,Acatzingo,21,,0
27,Acaxochitlán,13,,0
28,Acayucan,30,Acayucan,0
29,Acolman,15,,0
30,Aconchi,26,,0
31,Acteopan,21,,0
32,Actopan,30,,0
33,Actopan,13,Actopan,0
34,Ciudad Acuña,5,Ciudad Acuña,0
35,Acuamanala de Miguel Hidalgo,29,,0
36,Acuitzio,16,,0
37,Acula,30,,0
38,Aculco,15,,0
39,Acultzingo,30,,0
40,Agua Blanca de Iturbide,13,,0
41,Agua Dulce,30,,0
42,Agua Prieta,26,Agua Prieta,0
43,Agualeguas,19,,0
44,Aguascalientes,1,Aguascalientes,0
45,Aguililla,16,,0
46,Ahome,25,Los Mochis,0
47,Ahuacatlán,21,,0
48,Ahuacatlán,18,,0
49,Ahuacuotzingo,12,,0
50,Ahualulco,24,,0
51,Ahualulco de Mercado,14,Ahualulco de Mercado,0
52,Ahuatlán,21,,0
53,Ahuazotepec,21,,0
54,Ahuehuetitla,21,,0
55,Ahumada,8,,0
56,Ajacuba,13,,0
57,Ajalpan,21,,0
58,Ajuchitlán del Progreso,12,,0
59,Akil,31,,0
60,Alamos,26,,0
61,Alaquines,24,,0
62,Albino Zertuche,21,,0
63,Alcozauca de Guerrero,12,,0
64,Aldama,7,,0
65,Aldama,28,,0
66,Aldama,8,,0
67,Alfajayucan,13,,0
68,Aljojuca,21,,0
69,Allende,8,,0
70,Allende,5,Ciudad Allende,0
71,Allende,19,,0
72,Almoloya,13,,0
73,Almoloya de Alquisiras,15,,0
74,Almoloya de Juárez,15,Almoloya de Juárez,0
75,Almoloya del Río,15,,0
76,Alpatláhuac,30,,0
77,Alpoyeca,12,,0
78,Altamira,28,Altamira,0
79,Altamirano,7,,0
80,Altar,26,,0
81,Altepexi,21,,0
82,Alto Lucero de Gutiérrez Barrios,30,,0
83,Altotonga,30,Altotonga,0
84,Altzayanca,29,,0
85,Alvarado,30,,0
86,Alvaro Obregón,16,,0
87,Amacueca,14,,0
88,Amacuzac,17,,0
89,Amanalco,15,,0
90,Amatán,7,,0
91,Amatenango de La Frontera,7,,0
92,Amatenango Del Valle,7,,0
93,Amatepec,15,Amatepec,0
94,Amatitán,14,,0
95,Amatitlán,30,,0
96,Amatlán de Cañas,18,,0
97,Amatlán de los Reyes,30,Paraje Nuevo,0
98,Amaxac de Guerrero,29,,2
99,Amealco de Bonfil,22,,0
100,Ameca,14,Ameca,0
101,Amecameca,15,,0
102,Amixtlán,21,,0
103,Amozoc,21,Amozoc,0
104,Anáhuac,19,,0
105,Angamacutiro,16,,0
106,Angangueo,16,,0
107,Angel Albino Corzo,7,,0
108,Angel R. Cabada,30,Angel R. Cabada,0
109,Angostura,25,Angostura,0
110,Animas Trujano,20,,0
111,Antiguo Morelos,28,,0
112,Apan,13,Apan,0
113,Apaseo El Alto,11,,0
114,Apaseo El Grande,11,Apaseo el Grande,0
115,Apatzingán,16,Apatzingán,0
116,Apaxco,15,,0
117,Apaxtla,12,,0
118,Apazapan,30,,0
119,Apetatitlán de Antonio Carvajal,29,,0
120,Apizaco,29,Apizaco,0
121,Apodaca,19,Apodaca,0
122,Aporo,16,,0
123,Apozol,32,,0
124,Apulco,32,,0
125,Aquila,30,,0
126,Aquila,16,,0
127,Aquiles Serdán,8,,0
128,Aquismón,24,,0
129,Aquixtla,21,,0
130,Aramberri,19,,0
131,Arandas,14,Arandas,0
132,Arcelia,12,Arcelia,0
133,Ario,16,,0
134,Arivechi,26,,0
135,Arizpe,26,,0
136,Armadillo de los Infante,24,,0
137,Armería,6,Armería,0
138,Arriaga,7,Arriaga,0
139,Arroyo Seco,22,,0
140,Arteaga,5,Arteaga,0
141,Arteaga,16,,0
142,Ascensión,8,,0
143,Asientos,1,,0
144,Astacinga,30,,0
145,Asunción Cacalotepec,20,,0
146,Asunción Cuyotepeji,20,,0
147,Asunción Ixtaltepec,20,,0
148,Asunción Nochixtlán,20,Asunción Nochixtlán,0
149,Asunción Ocotlán,20,,0
150,Asunción Tlacolulita,20,,0
151,Atarjea,11,,0
152,Atemajac de Brizuela,14,,0
153,Atempan,21,,0
154,Atenango del Río,12,,0
155,Atenco,15,,0
156,Atengo,14,,0
157,Atenguillo,14,,0
158,Atexcal,21,,0
159,Atil,26,,0
160,Atitalaquia,13,,0
161,Atizapán,15,,0
162,Atizapán de Zaragoza,15,Ciudad Adolfo López Mateos,0
163,Atlacomulco,15,,0
164,Atlahuilco,30,,0
165,Atlamajalcingo Del Monte,12,,0
166,Atlangatepec,29,,0
167,Atlapexco,13,,0
168,Atlatlahucan,17,,0
169,Atlautla,15,,0
170,Atlequizayan,21,,0
171,Atlixco,21,Atlixco,0
172,Atlixtac,12,,0
173,Atolinga,32,,0
174,Atotonilco de Tula,13,,0
175,Atotonilco El Alto,14,Atotonilco el Alto,0
176,Atotonilco El Grande,13,,0
177,Atoyac,30,Atoyac,0
178,Atoyac,14,,0
179,Atoyac de álvarez,12,Atoyac de álvarez,0
180,Atoyatempan,21,,0
181,Atzacan,30,,0
182,Atzala,21,,0
183,Atzalan,30,,0
184,Atzitzihuacán,21,,0
185,Atzitzintla,21,,0
186,Autlán de Navarro,14,Autlán de Navarro,0
187,Axapusco,15,,0
188,Axochiapan,17,,0
189,Axtla de Terrazas,24,,0
190,Axutla,21,,0
191,Ayahualulco,30,,0
192,Ayala,17,,0
193,Ayapango,15,,0
194,Ayoquezco de Aldama,20,,0
195,Ayotlán,14,,0
196,Ayotoxco de Guerrero,21,,0
197,Ayotzintepec,20,,0
198,Ayutla,14,,0
199,Ayutla de los Libres,12,Ayutla de los Libres,0
